id,fill,rwh
15,0.07,0.05
17,0.22,0.01
26,0.18,0.02
28,0.19,0.00
30,0.20,0.00
44,0.26,0.03
45,0.27,0.01
54,0.98,0.02
55,0.29,0.00
58,0.30,0.01
59,0.17,0.00
69,0.18,0.01
88,0.54,0.00
92,0.92,0.01
99,0.90,0.01
167,2.00,0.01
169,2.00,0.00
172,1.29,0.00
175,1.19,0.02
193,0.78,0.01
195,0.77,0.00
200,0.78,0.01
202,1.47,0.00
206,0.49,0.00
208,0.48,0.00
209,0.43,0.00
218,0.36,0.00
221,0.70,0.00
223,0.41,0.00
228,0.34,0.00
84,0.94,0.01
87,0.25,0.16
112,0.25,0.07
113,0.26,0.00
118,0.44,0.03
120,0.45,0.01
122,0.52,0.02
124,0.57,0.01
125,0.85,0.00
144,0.75,0.07
145,1.08,0.00
146,0.69,0.00
147,0.69,0.00
151,0.83,0.04
153,0.84,0.00
